Entity,Date,Stringency Index (OxBSG)
United Kingdom,2020-01-01,0.0
United Kingdom,2020-01-02,0.0
United Kingdom,2020-01-03,0.0
United Kingdom,2020-01-04,0.0
United Kingdom,2020-01-05,0.0
United Kingdom,2020-01-06,0.0
United Kingdom,2020-01-07,0.0
United Kingdom,2020-01-08,0.0
United Kingdom,2020-01-09,0.0
United Kingdom,2020-01-10,0.0
United Kingdom,2020-01-11,0.0
United Kingdom,2020-01-12,0.0
United Kingdom,2020-01-13,0.0
United Kingdom,2020-01-14,0.0
United Kingdom,2020-01-15,0.0
United Kingdom,2020-01-16,0.0
United Kingdom,2020-01-17,0.0
United Kingdom,2020-01-18,0.0
United Kingdom,2020-01-19,0.0
United Kingdom,2020-01-20,5.56
United Kingdom,2020-01-21,5.56
United Kingdom,2020-01-22,5.56
United Kingdom,2020-01-23,5.56
United Kingdom,2020-01-24,5.56
United Kingdom,2020-01-25,5.56
United Kingdom,2020-01-26,5.56
United Kingdom,2020-01-27,5.56
United Kingdom,2020-01-28,5.56
United Kingdom,2020-01-29,5.56
United Kingdom,2020-01-30,5.56
United Kingdom,2020-01-31,8.33
United Kingdom,2020-02-01,8.33
United Kingdom,2020-02-02,11.11
United Kingdom,2020-02-03,11.11
United Kingdom,2020-02-04,11.11
United Kingdom,2020-02-05,11.11
United Kingdom,2020-02-06,11.11
United Kingdom,2020-02-07,11.11
United Kingdom,2020-02-08,11.11
United Kingdom,2020-02-09,11.11
United Kingdom,2020-02-10,11.11
United Kingdom,2020-02-11,11.11
United Kingdom,2020-02-12,11.11
United Kingdom,2020-02-13,11.11
United Kingdom,2020-02-14,11.11
United Kingdom,2020-02-15,11.11
United Kingdom,2020-02-16,11.11
United Kingdom,2020-02-17,11.11
United Kingdom,2020-02-18,11.11
United Kingdom,2020-02-19,11.11
United Kingdom,2020-02-20,11.11
United Kingdom,2020-02-21,11.11
United Kingdom,2020-02-22,11.11
United Kingdom,2020-02-23,11.11
United Kingdom,2020-02-24,11.11
United Kingdom,2020-02-25,11.11
United Kingdom,2020-02-26,11.11
United Kingdom,2020-02-27,11.11
United Kingdom,2020-02-28,11.11
United Kingdom,2020-02-29,11.11
United Kingdom,2020-03-01,11.11
United Kingdom,2020-03-02,11.11
United Kingdom,2020-03-03,11.11
