,country,Infection_corr_index,Infection_p-value,Death_corr_index,Death_p-value
107,Tanzania,0.026845253962859864,0.678391979650883,0.02715565181821209,0.6748838876190488
108,Thailand,-0.013929887279682317,0.8303659911171933,0.04710747071443824,0.46854513641851103
109,Togo,-0.029807755970346406,0.6445105379469751,0.03393421948149265,0.5993672379479064
110,Tunisia,-0.0033299280586098884,0.9585589590128543,0.014481214358752112,0.8212138607497321
111,Turkey,0.03308939585524887,0.6153095682327192,0.08478141132707724,0.19722605279621436
112,Ukraine,0.05118034125680067,0.4289905707945063,0.026125320707026167,0.6865552097557698
113,Uzbekistan,0.05973638102161572,0.36715422784524776,0.002094046639248224,0.9748031698148008
114,Venezuela,0.011979410319974381,0.852009394514494,0.012829213268207256,0.8416446468242995
115,Yemen,-0.0007613248014858473,0.9905602823691546,0.009395287282272409,0.8839145335570524
116,Zambia,-0.04588450441519062,0.4755770928187303,0.005744800223947081,0.9288621056798777
117,Zimbabwe,-0.055009155583779085,0.3922710573538205,0.003775174299883592,0.9532169452569452
