,country,critical_value,daily_cases_statistic,infected_statistic,daily_death_statistic,daily_cases_validation,infected_validation,daily_death_validation
102,Qatar,20.090235029663233,86.43294401959557,166.09678269752877,98.92029906777019,False,False,False
103,Romania,20.090235029663233,40.39206881745422,98.07403584990284,19.67390976381844,False,True,False
104,Russia,20.090235029663233,206.18248454339607,119.90128092350051,114.71882921446189,False,False,False
105,Russia_region_|_ Kabardino-Balkarian Republic,20.090235029663233,84.2892319796822,44.23905483399942,108.66416235698972,False,False,False
106,Russia_region_|_ Kurgan_region,20.090235029663233,48.052137381574866,35.183706381560405,149.16213806250937,False,False,False
107,Russia_region_|_Adygeya Republic,20.090235029663233,61.53606293265064,409.35582447232196,149.85804892781636,False,False,False
108,Russia_region_|_Altai Krai,20.090235029663233,167.50268800227016,103.08851017412579,65.60308619165383,False,False,False
109,Russia_region_|_Altai republic,20.090235029663233,14.642272544789503,91.51747708786597,160.95920051988776,False,False,True
110,Russia_region_|_Amur oblast,20.090235029663233,88.07996677737893,134.9813279361603,155.17437176253983,False,False,False
111,Russia_region_|_Arkhangelsk region,20.090235029663233,60.04673829982161,81.34149927893665,92.59658311419699,False,False,False
112,Russia_region_|_Bashkortostan,20.090235029663233,175.38976266902256,32.05876862624674,147.92242483144778,False,False,False
113,Russia_region_|_Bryansk_region,20.090235029663233,47.1688512980395,247.25575706909166,170.18723357840972,False,False,False
114,Russia_region_|_Chechen Republic ,20.090235029663233,19.743628533798965,213.38715352457638,145.46257748698457,False,False,True
115,Russia_region_|_Chuvash Republic,20.090235029663233,76.13471227586354,117.72087923428184,113.7633815922726,False,False,False
116,Russia_region_|_Irkutsk oblast,20.090235029663233,93.78586356660182,138.50470499399404,56.46190052932083,False,False,False
117,Russia_region_|_Ivanovo region,20.090235029663233,43.357622621666366,169.32643272271312,92.95103155211582,False,False,False
118,Russia_region_|_Kaluga region,20.090235029663233,41.25362318146663,138.8876941611058,137.28116020756423,False,False,False
119,Russia_region_|_Kamchatka Krai,20.090235029663233,43.16238873758027,18.538297342042124,147.65421814402328,True,False,False
120,Russia_region_|_Karachay-Cherkess Republic,20.090235029663233,47.07542479224735,34.22177392345102,148.0048267541464,False,False,False
121,Russia_region_|_Kemerovo region,20.090235029663233,100.30914745169034,70.33444184487063,130.51564553936257,False,False,False
122,Russia_region_|_Khabarovsk territory,20.090235029663233,163.91688219881593,189.94277200414825,109.13061627747221,False,False,False
123,Russia_region_|_Khanty-Mansi Autonomous Okrug,20.090235029663233,41.87429169048141,17.138332318771443,74.46063805764621,True,False,False
124,Russia_region_|_Kirov region,20.090235029663233,193.3242000688404,22.7791880923753,102.80278872951138,False,False,False
125,Russia_region_|_Komi republic,20.090235029663233,29.681605906638683,127.70404514609456,101.70039912957508,False,False,False
126,Russia_region_|_Kostroma oblast,20.090235029663233,26.752855898487034,86.28058435844372,124.13818513002221,False,False,False
127,Russia_region_|_Krasnodar region,20.090235029663233,545.8841304556023,121.76894475435675,58.3325549655989,False,False,False
128,Russia_region_|_Krasnoyarsk region,20.090235029663233,202.6629901476247,103.25992635175584,37.590391724491084,False,False,False
129,Russia_region_|_Kursk oblast,20.090235029663233,126.27873003059399,244.2838789599828,127.11513402684585,False,False,False
130,Russia_region_|_Leningrad region,20.090235029663233,194.36844261144432,56.62064690251705,129.21901821207214,False,False,False
131,Russia_region_|_Lypetsk region,20.090235029663233,76.96468226410963,52.735781186939064,143.40801746387163,False,False,False
132,Russia_region_|_Magadan oblast,20.090235029663233,27.906869014760606,109.47760056265673,155.45370211184164,False,False,False
133,Russia_region_|_Moscow,20.090235029663233,288.85563420582776,124.47093658377223,29.715986208035545,False,False,False
134,Russia_region_|_Moscow oblast,20.090235029663233,42.91094440539308,104.34535106577096,17.37327147821526,False,True,False
135,Russia_region_|_Murmansk region,20.090235029663233,105.39343967263028,89.04526003803281,87.33047544834766,False,False,False
136,Russia_region_|_Nenets Autonomous Okrug,20.090235029663233,56.42474773233725,79.15366193735144,180.0,False,False,False
137,Russia_region_|_Nizhny Novgorod region,20.090235029663233,106.94260441904095,128.68567652743735,84.63784491338636,False,False,False
138,Russia_region_|_Novgorod region,20.090235029663233,40.626507624674325,142.05590262398897,140.15308952099758,False,False,False
139,Russia_region_|_Novosibirsk region,20.090235029663233,81.76255002543436,84.52948819329112,56.09803361864311,False,False,False
140,Russia_region_|_Omsk oblast,20.090235029663233,73.1217584346098,87.28188115668546,78.70719034010864,False,False,False
141,Russia_region_|_Orel region,20.090235029663233,130.00532720562612,179.33100159654268,93.83880966685251,False,False,False
142,Russia_region_|_Penza region,20.090235029663233,169.03401641788332,22.967090732145106,115.09107313828282,False,False,False
143,Russia_region_|_Perm region,20.090235029663233,215.21336332192956,37.04532125910056,70.13347109468353,False,False,False
144,Russia_region_|_Primorsky region,20.090235029663233,196.86618148350863,155.07877076314765,99.84183313440431,False,False,False
145,Russia_region_|_Pskov Oblast,20.090235029663233,41.4448020278577,158.19202277067313,129.14521250680838,False,False,False
146,Russia_region_|_Republic Of Khakassia,20.090235029663233,70.3759726288546,145.70709962821098,154.32206247844815,False,False,False
147,Russia_region_|_Republic of Buryatia,20.090235029663233,108.36333075505942,318.7083897997494,121.12125030694253,False,False,False
148,Russia_region_|_Republic of Dagestan,20.090235029663233,180.03961343600676,148.4590889007537,35.31094477206108,False,False,False
149,Russia_region_|_Republic of Kalmykia,20.090235029663233,22.8689105215526,27.54946010640557,121.59633935120411,False,False,False
150,Russia_region_|_Republic of Karelia,20.090235029663233,25.60201145388568,234.9517355767619,165.4013890949829,False,False,False
151,Russia_region_|_Republic of Mari El,20.090235029663233,90.14247277269973,149.75095040387376,127.0991874038757,False,False,False
152,Russia_region_|_Republic of Mordovia,20.090235029663233,466.69344691680226,212.97623870168442,143.58913720007249,False,False,False
153,Russia_region_|_Ryazan region,20.090235029663233,77.56928100404276,30.07366949535529,140.45605703138565,False,False,False
154,Russia_region_|_Saint Petersburg,20.090235029663233,74.56612022943335,87.33133517512299,36.482067273451875,False,False,False
155,Russia_region_|_Sakhalin oblast,20.090235029663233,116.53264908150871,69.73765705821249,198.0,False,False,False
156,Russia_region_|_Samara region,20.090235029663233,56.347061330333375,127.48795610396395,78.80472951543399,False,False,False
157,Russia_region_|_Saratov region,20.090235029663233,544.5205794481203,117.93238200015213,102.58059563190051,False,False,False
158,Russia_region_|_Sevastopol,20.090235029663233,14.095150762743064,38.597052800170026,146.1004678314403,False,False,True
159,Russia_region_|_Smolensk oblast,20.090235029663233,17.996030957468772,89.5094286890896,90.71427032003666,False,False,True
160,Russia_region_|_Stavropol region,20.090235029663233,111.37798224950674,48.99600606512469,117.01224476769602,False,False,False
161,Russia_region_|_Sverdlovsk region,20.090235029663233,89.14119382438507,154.27070417589144,34.858084444190425,False,False,False
162,Russia_region_|_Tatarstan region,20.090235029663233,103.21227061386716,129.988125664255,132.10342141947865,False,False,False
163,Russia_region_|_The Republic of Ingushetia,20.090235029663233,146.2029329474629,138.63886459121983,111.71929645079385,False,False,False
164,Russia_region_|_Tula region,20.090235029663233,67.66269653250552,173.77156660593556,61.93540255521192,False,False,False
165,Russia_region_|_Tuva Republic,20.090235029663233,31.732629646770327,57.686491117868265,134.33372849143916,False,False,False
166,Russia_region_|_Tver region,20.090235029663233,88.0335720086164,36.20057804773019,98.10924392139495,False,False,False
167,Russia_region_|_Tyumen region,20.090235029663233,71.37269438308061,52.33836487840915,151.88184580766966,False,False,False
168,Russia_region_|_Udmurt Republic,20.090235029663233,38.50889462803005,53.073229549897135,158.50078119148543,False,False,False
169,Russia_region_|_Ulyanovsk region,20.090235029663233,170.5767610313111,249.37244372010622,104.75013988799697,False,False,False
170,Russia_region_|_Vladimir region,20.090235029663233,116.6638728641472,63.21349289942254,66.34117650301779,False,False,False
171,Russia_region_|_Volgograd oblast,20.090235029663233,427.2652110865012,204.38123863777807,89.2626632294341,False,False,False
172,Russia_region_|_Vologda oblast,20.090235029663233,79.87826142237273,193.41304577547066,135.9145707653015,False,False,False
173,Russia_region_|_Voronezh region,20.090235029663233,102.84258115436505,46.92858596539101,85.72535208725569,False,False,False
174,Russia_region_|_Yakutia,20.090235029663233,128.98372578474505,37.90684071441904,116.15327230117866,False,False,False
175,Russia_region_|_Yamalo-Nenets Autonomous district,20.090235029663233,35.15176115431572,14.192578189604756,97.15487789452564,True,False,False
176,Rwanda,20.090235029663233,10.825874393263337,59.616453173031736,208.9875241038032,False,False,True
177,San-marino,20.090235029663233,97.94280189372634,52.29866242815297,215.7906075441393,False,False,False
178,Saudi-arabia,20.090235029663233,42.688423412136075,43.05645906518451,81.51455608202454,False,False,False
179,Senegal,20.090235029663233,35.07605257442795,57.69970054974841,85.14306173718502,False,False,False
180,Serbia,20.090235029663233,14.903847679197533,62.205308524607986,17.901496400544126,False,True,True
181,Sierra-leone,20.090235029663233,23.386202666426133,332.5306037287743,180.5208032745122,False,False,False
182,Singapore,20.090235029663233,11.606147864061743,28.604420177241224,216.38119148293566,False,False,True
183,Slovakia,20.090235029663233,23.07318743254327,26.34924059200767,157.04597841096316,False,False,False
184,Slovenia,20.090235029663233,24.475845146576557,88.64638540123433,98.64192298153156,False,False,False
185,Somalia,20.090235029663233,80.94320999548762,109.81973866606369,177.62181121131496,False,False,False
186,South-africa,20.090235029663233,25.191995913762547,70.06863154163136,22.969234176775227,False,False,False
187,South-korea,20.090235029663233,4.885899521979578,61.164404877859425,41.21358806186626,False,False,True
188,South-sudan,20.090235029663233,80.98399545722394,162.28218160510625,209.9653225730535,False,False,False
189,Sri-lanka,20.090235029663233,8.556762943034574,21.640605132544636,227.7235880398671,False,False,True
190,State-of-palestine,20.090235029663233,61.15988845244752,241.4201602578631,81.53207814356986,False,False,False
191,Sudan,20.090235029663233,60.2296332723666,219.3401455767817,94.65461816371604,False,False,False
192,Suriname,20.090235029663233,44.007746071367436,56.04107305815777,163.725495620831,False,False,False
193,Swaziland,20.090235029663233,18.688510652707215,39.38845446618754,156.9699574587878,False,False,True
194,Sweden,20.090235029663233,30.30118823194181,205.61738834056766,24.435778139748365,False,False,False
195,Switzerland,20.090235029663233,7.0061835349764685,21.069140582673125,37.47147828906371,False,False,True
196,Syria,20.090235029663233,71.03907524494086,78.05173592397568,126.88772885875075,False,False,False
197,Taiwan,20.090235029663233,89.62238613342102,64.37126086216293,250.22629986292776,False,False,False
198,Tajikistan,20.090235029663233,198.3015105479952,213.1525541753624,179.58469851259142,False,False,False
199,Tanzania,20.090235029663233,218.05511175749115,804.034916295605,246.2753842702098,False,False,False
200,Thailand,20.090235029663233,25.167650120484822,153.69788203607408,197.72931547594098,False,False,False
201,Togo,20.090235029663233,24.411702203898674,136.42477577676732,188.29295355806985,False,False,False
202,Trinidad-and-tobago,20.090235029663233,63.0251313011143,45.295838814820506,161.40609830270733,False,False,False
203,Tunisia,20.090235029663233,24.010521598781324,33.73367224970298,116.0230268711791,False,False,False
204,Turkey,20.090235029663233,170.49513180913527,40.0756081381431,28.767737148912545,False,False,False
205,Turks-and-caicos-islands,20.090235029663233,112.44237062133364,45.03062163143669,250.31944799386662,False,False,False
206,Ukraine,20.090235029663233,22.604382000068902,37.634306953249336,45.46141300049214,False,False,False
207,United-arab-emirates,20.090235029663233,22.634683555163456,105.51343581876844,55.06520186019214,False,False,False
208,Us,20.090235029663233,87.87262987832236,104.3116576000298,20.97280945152678,False,False,False
209,Uzbekistan,20.090235029663233,20.839215030792086,109.87310740956212,90.0788750570685,False,False,False
210,Venezuela,20.090235029663233,32.61721636079787,74.30458230776426,84.17912720670367,False,False,False
211,Viet-nam,20.090235029663233,54.0221733735697,54.33850228273348,220.81610724446978,False,False,False
212,Yemen,20.090235029663233,50.43934607159198,79.61336665174912,76.61789728658196,False,False,False
213,Zambia,20.090235029663233,30.588469472929766,53.20469076580249,135.21064887916216,False,False,False
214,Zimbabwe,20.090235029663233,35.00454471160484,72.28066390071464,150.63489335801216,False,False,False
