,country,critical_value,daily_cases_statistic,infected_statistic,daily_death_statistic,daily_cases_validation,infected_validation,daily_death_validation
0,Afghanistan,20.090235029663233,30.14590190469516,109.48997248226341,35.490175406357366,False,False,False
1,Andorra,20.090235029663233,84.4255194050221,18.949800439807067,183.83517927545282,True,False,False
2,Argentina,20.090235029663233,30.10458559354833,31.857262022956355,29.842975557089332,False,False,False
3,Aruba,20.090235029663233,70.88026893949908,27.175888045407646,207.93717968078434,False,False,False
4,Australia,20.090235029663233,19.73042134883943,41.46165738686169,96.41296660922134,False,False,True
5,Austria,20.090235029663233,16.480759830567152,33.659771956384354,55.579553135925565,False,False,True
6,Azerbaijan,20.090235029663233,32.50146808766411,40.202177568145174,27.84522377162959,False,False,False
7,Bahrain,20.090235029663233,94.7573329882301,135.38505766497693,76.58525306339199,False,False,False
8,Bangladesh,20.090235029663233,53.31607285319637,153.91043814943245,124.02504873271484,False,False,False
9,Barbados,20.090235029663233,112.73370026032728,29.154347916355086,248.46000511116793,False,False,False
10,Belarus,20.090235029663233,86.62546115183727,33.226971915522356,271.4347398653585,False,False,False
11,Belgium,20.090235029663233,6.780551471052615,174.81743270795585,17.406732649861887,False,True,True
12,Belize,20.090235029663233,89.4149748269671,48.62927461023588,192.50169154748394,False,False,False
13,Bermuda,20.090235029663233,146.15986895772755,111.05227211644814,246.62611806797855,False,False,False
14,Bolivia,20.090235029663233,31.48372378381994,55.05948519899117,26.821002659799042,False,False,False
15,Bosnia-and-herzegovina,20.090235029663233,35.98587988464557,215.84204927570337,25.627774453604154,False,False,False
16,Botswana,20.090235029663233,167.70358183149057,30.86870963881371,235.08657853774136,False,False,False
17,Brazil,20.090235029663233,70.63763110700519,147.59461345791865,56.80576235200778,False,False,False
18,Brunei-darussalam,20.090235029663233,193.82115467773673,44.07216438016849,256.0511116790186,False,False,False
19,Bulgaria,20.090235029663233,23.290401725657823,109.2630105804209,17.94273355480809,False,True,False
20,Burkina-faso,20.090235029663233,41.309170265718194,29.929707213501423,185.3248594668338,False,False,False
21,Cabo-verde,20.090235029663233,29.70494232436794,120.82851336322068,160.05378865320725,False,False,False
22,Cameroon,20.090235029663233,89.73103658725378,58.7488538481543,150.47088919691404,False,False,False
23,Canada,20.090235029663233,15.37967870503195,37.04816276469401,27.631661909772863,False,False,True
24,Central-african-republic,20.090235029663233,84.36682870249581,195.6822778834973,215.33520368008857,False,False,False
25,Chad,20.090235029663233,44.6818469039762,13.268504207639397,179.5238277777917,True,False,False
26,Chile,20.090235029663233,42.80552524406858,38.87452073668929,28.87320499916042,False,False,False
27,China,20.090235029663233,12.020600519130241,11.488856751863011,119.03619799429589,True,False,True
28,China-hong-kong-sar,20.090235029663233,11.48711533868988,31.466510452873408,165.4599886434111,False,False,True
29,Colombia,20.090235029663233,63.484920875156114,31.566548636408605,46.75807550914368,False,False,False
30,Costa-rica,20.090235029663233,28.947083353230862,87.95689143419128,101.40209231532273,False,False,False
31,Cote-d-ivoire,20.090235029663233,20.451049848211362,20.183240180548452,145.94925851539972,False,False,False
32,Croatia,20.090235029663233,14.402586620355606,40.7549924857131,46.84643201923498,False,False,True
33,Cuba,20.090235029663233,34.76186526833341,154.39534645211955,182.22900960016773,False,False,False
34,Cyprus,20.090235029663233,13.257410050765262,34.307625865985024,214.92234691892696,False,False,True
35,Czech-republic,20.090235029663233,9.091908110318759,109.6186942184417,28.61997845196484,False,False,True
36,Denmark,20.090235029663233,16.921435529750546,50.88663932115256,66.4776858597505,False,False,True
37,Djibouti,20.090235029663233,38.573971797150776,14.94416823096628,201.9399299334087,True,False,False
38,Dominican-republic,20.090235029663233,17.797811319970375,74.9974163942618,17.210930937202917,False,True,True
39,Ecuador,20.090235029663233,44.345521547270046,45.98897191483672,21.503230805492887,False,False,False
40,Egypt,20.090235029663233,80.86064797776476,35.84390241928716,28.82457972678382,False,False,False
41,El-salvador,20.090235029663233,22.64885795862107,21.8452883858794,46.63147463275992,False,False,False
42,Estonia,20.090235029663233,15.596368850629446,35.64886630514812,190.55562123459654,False,False,True
43,Ethiopia,20.090235029663233,27.64627868108247,55.07554080237575,69.06022700704347,False,False,False
44,Fiji,20.090235029663233,221.4194242613436,54.48997076818047,258.0127779197547,False,False,False
45,Finland,20.090235029663233,10.833244375735713,31.034187902574196,93.51184233158503,False,False,True
46,Gabon,20.090235029663233,82.85267477540776,57.37728505106804,203.08343506844741,False,False,False
47,Gambia,20.090235029663233,92.37165489485719,44.5901533230748,187.82414948812453,False,False,False
48,Georgia,20.090235029663233,10.21792485981129,99.21431273406847,143.05326185616522,False,False,True
49,Germany,20.090235029663233,14.905657306316693,79.61665580411713,15.662695122683969,False,True,True
50,Ghana,20.090235029663233,30.900589720418722,81.03432397310897,136.3648812486672,False,False,False
51,Greece,20.090235029663233,22.354685330455084,55.71448928815496,37.788808636070144,False,False,False
52,Guatemala,20.090235029663233,22.14794774745613,116.71704860379344,40.22057521640791,False,False,False
53,Guinea,20.090235029663233,52.19955542652592,99.22811594416137,173.7130782008689,False,False,False
54,Haiti,20.090235029663233,26.597956318163376,63.59324364157982,113.06317965763635,False,False,False
55,Honduras,20.090235029663233,46.32965631873621,188.12677076758183,23.235851231952083,False,False,False
56,Hungary,20.090235029663233,17.625542985204206,31.244181452783437,37.65306001699263,False,False,True
57,Iceland,20.090235029663233,23.123721087409685,90.24842170570531,268.4273203277494,False,False,False
58,India,20.090235029663233,54.31553247282571,42.90101423804717,18.855069115269938,False,True,False
59,Indonesia,20.090235029663233,50.46044112459151,89.79238514764825,39.03984799796123,False,False,False
60,Iran,20.090235029663233,203.2224149102231,148.13644378171452,72.27604515035155,False,False,False
61,Iraq,20.090235029663233,77.44497860684689,350.97134741724415,69.74960375071274,False,False,False
62,Ireland,20.090235029663233,7.087202304222956,16.56258040608426,48.056394190446255,True,False,True
63,Israel,20.090235029663233,10.146004931130623,54.81600782021164,21.11199795096388,False,False,True
64,Italy,20.090235029663233,13.876538123940733,17.69035961022476,14.94126921023491,True,True,True
65,Jamaica,20.090235029663233,25.068960400054053,88.35231572920955,137.45001045833857,False,False,False
66,Japan,20.090235029663233,44.564199935860515,100.94579215684763,22.065722671724004,False,False,False
67,Kazakhstan,20.090235029663233,30.302580782196998,33.327809462123,59.34775458537726,False,False,False
68,Kenya,20.090235029663233,10.514696137407658,69.20737662723516,33.713826025800515,False,False,True
69,Kuwait,20.090235029663233,211.9908200231497,393.79282710108885,45.97129981710937,False,False,False
70,Latvia,20.090235029663233,10.831579054152117,18.519065617576118,155.32265085173236,True,False,True
71,Lebanon,20.090235029663233,20.29116164262672,137.77092730295354,71.09445448065377,False,False,False
72,Lesotho,20.090235029663233,156.77201337652534,83.93247654500259,215.52246598705975,False,False,False
73,Liberia,20.090235029663233,41.88371761088549,137.4165453649188,188.19739327518909,False,False,False
74,Libya,20.090235029663233,31.43421552740226,28.628068268316117,80.30846713504741,False,False,False
75,Luxembourg,20.090235029663233,16.810086305367747,47.60665207912134,134.60608064337924,False,False,True
76,Madagascar,20.090235029663233,35.199226413075266,99.77131732773779,109.3900731553863,False,False,False
77,Malawi,20.090235029663233,28.725731779067942,38.75777061647594,149.0910554902463,False,False,False
78,Malaysia,20.090235029663233,17.957810676055775,69.49553296869266,111.66447584577564,False,False,True
79,Mali,20.090235029663233,20.031338600174525,285.5670357144095,141.43810100684166,False,False,True
80,Mauritania,20.090235029663233,31.20758577987226,31.59777184973182,155.8097907793403,False,False,False
81,Mauritius,20.090235029663233,153.12446111576173,86.44328339057236,246.4068605812792,False,False,False
82,Mexico,20.090235029663233,112.15750772416757,65.61365949993308,34.92672908824133,False,False,False
83,Moldova,20.090235029663233,11.961031178621585,53.90726946223546,43.37527534745668,False,False,True
84,Morocco,20.090235029663233,12.768329038745314,56.52080625125796,41.23993153194829,False,False,True
85,Mozambique,20.090235029663233,26.08441968568089,19.43322010645044,163.06501717534442,True,False,False
86,Myanmar,20.090235029663233,46.11983754158443,82.78051451105205,164.09893145546283,False,False,False
87,Namibia,20.090235029663233,47.66395778079986,22.304847089194645,155.46796221648043,False,False,False
88,Nepal,20.090235029663233,21.553263578303646,21.024261695612623,84.21778162365047,False,False,False
89,New-zealand,20.090235029663233,37.824187712515325,21.124065351790435,225.1113613370566,False,False,False
90,Nicaragua,20.090235029663233,190.07000497884877,51.20778137308438,208.63305357244755,False,False,False
91,Niger,20.090235029663233,58.92334782718558,28.173325475261866,185.9330164980069,False,False,False
92,Nigeria,20.090235029663233,23.281482361787262,88.0785416798584,28.832526485319374,False,False,False
93,Oman,20.090235029663233,27.509241353878103,44.924016463468064,54.706335636008916,False,False,False
94,Pakistan,20.090235029663233,55.012609523802425,73.7887225295009,23.991778572283025,False,False,False
95,Panama,20.090235029663233,88.65632485710194,214.4613759848803,20.488445071119084,False,False,False
96,Papua-new-guinea,20.090235029663233,154.21328123566883,66.3970815867406,248.34130114071976,False,False,False
97,Paraguay,20.090235029663233,28.853623447402327,112.37658828833703,109.20016730067107,False,False,False
98,Peru,20.090235029663233,82.8545072471885,201.6643284147991,83.29143954446319,False,False,False
99,Philippines,20.090235029663233,46.38821672261588,79.38897159973635,17.18048970558789,False,True,False
100,Poland,20.090235029663233,73.70168119818854,135.3688548051107,30.848200340303617,False,False,False
101,Portugal,20.090235029663233,35.80916468829394,120.3340942413968,21.18322018387031,False,False,False
