time,total_cases,daily_cases,total_currently_infected,total_death
2020-08-31,205,0,2,1
2020-09-01,205,0,0,1
2020-09-02,205,0,0,1
2020-09-03,205,0,0,1
2020-09-04,205,0,0,1
2020-09-05,205,0,0,1
2020-09-06,205,0,0,1
2020-09-07,205,0,0,1
2020-09-08,205,0,0,1
2020-09-09,207,2,2,1
2020-09-10,208,1,3,1
2020-09-11,208,0,3,1
2020-09-12,208,0,3,1
2020-09-13,208,0,3,1
2020-09-14,208,0,3,1
2020-09-15,208,0,3,1
2020-09-16,208,0,3,1
2020-09-17,208,0,3,1
2020-09-18,208,0,3,1
2020-09-19,208,0,3,1
2020-09-20,208,0,3,1
2020-09-21,209,1,4,1
2020-09-22,210,1,4,1
2020-09-23,210,0,4,1
2020-09-24,210,0,4,1
2020-09-25,210,0,2,1
2020-09-26,210,0,2,1
2020-09-27,210,0,2,1
2020-09-28,211,1,2,1
2020-09-29,211,0,2,1
2020-09-30,211,0,2,1
2020-10-01,211,0,1,1
2020-10-02,213,2,3,1
2020-10-03,213,0,3,1
2020-10-04,213,0,3,1
2020-10-05,213,0,2,1
2020-10-06,213,0,2,1
2020-10-07,213,0,2,1
2020-10-08,214,1,2,1
2020-10-09,220,6,8,1
2020-10-10,221,1,9,1
2020-10-11,221,0,9,1
2020-10-12,221,0,9,1
2020-10-13,221,0,9,1
2020-10-14,225,4,12,1
2020-10-15,225,0,12,1
2020-10-16,233,8,20,1
2020-10-17,233,0,20,1
2020-10-18,233,0,20,1
2020-10-19,235,2,22,1
2020-10-20,235,0,20,1
2020-10-21,235,0,20,1
2020-10-22,236,1,20,1
2020-10-23,239,3,23,1
2020-10-24,239,0,23,1
2020-10-25,239,0,23,1
2020-10-26,239,0,22,1
2020-10-27,239,0,20,1
2020-10-28,239,0,20,1
2020-10-29,239,0,20,1
2020-10-30,240,1,18,1
2020-10-31,240,0,18,1
