time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,1,0,1
2020-03-04,1,0,1
2020-03-05,1,0,1
2020-03-06,1,0,1
2020-03-07,1,0,1
2020-03-08,1,0,0
2020-03-09,1,0,0
2020-03-10,1,0,0
2020-03-11,1,0,0
2020-03-12,1,0,0
2020-03-13,1,0,0
2020-03-14,1,0,0
2020-03-15,1,0,0
2020-03-16,3,2,2
2020-03-17,3,0,1
2020-03-18,8,5,6
2020-03-19,10,2,8
2020-03-20,10,0,8
2020-03-21,10,0,8
2020-03-22,15,5,13
2020-03-23,15,0,10
2020-03-24,15,0,10
2020-03-25,26,11,21
2020-03-26,35,9,22
2020-03-27,55,20,41
2020-03-28,56,1,42
2020-03-29,65,9,51
2020-03-30,69,4,35
2020-03-31,69,0,35
2020-04-01,81,12,47
2020-04-02,88,7,42
2020-04-03,95,7,49
2020-04-04,98,3,46
2020-04-05,103,5,51
2020-04-06,109,6,57
2020-04-07,113,4,53
2020-04-08,120,7,60
2020-04-09,123,3,63
2020-04-10,127,4,58
2020-04-11,129,2,45
2020-04-12,129,0,45
2020-04-13,129,0,36
2020-04-14,129,0,36
2020-04-15,131,2,27
2020-04-16,131,0,27
2020-04-17,132,1,27
2020-04-18,132,0,21
2020-04-19,132,0,12
2020-04-20,132,0,12
2020-04-21,132,0,12
2020-04-22,132,0,5
2020-04-23,133,1,4
2020-04-24,133,0,2
2020-04-25,136,3,5
2020-04-26,141,5,10
2020-04-27,141,0,10
2020-04-28,141,0,10
2020-04-29,141,0,10
2020-04-30,144,3,13
2020-05-01,144,0,13
2020-05-02,144,0,12
2020-05-03,144,0,12
2020-05-04,144,0,11
2020-05-05,144,0,11
2020-05-06,144,0,8
2020-05-07,144,0,3
2020-05-08,146,2,4
2020-05-09,146,0,4
2020-05-10,146,0,3
2020-05-11,147,1,4
2020-05-12,147,0,3
2020-05-13,147,0,3
2020-05-14,147,0,3
2020-05-15,147,0,3
